SALE_DT,LOCAL_SHOP_CD,SALES_AMT,Holiday,Holiday Name
2023-02-15,M09,16887.5,,
2023-02-15,M10,51071.5,,
2023-02-15,M11,34556,,
2023-02-15,M12,7298,,
2023-02-15,M13,13992,,
2023-02-15,M14,43631.5,,
2023-02-15,M15,10634,,
2023-02-15,M16,3590,,
2023-02-15,MC1,113201.93,,
2023-02-15,MC2,32975.728,,
2023-02-15,MC3,66127.183,,
2023-02-16,HE2,15599.4,,
2023-02-16,M01,75551,,
2023-02-16,M02,39775,,
2023-02-16,M05,52209,,
2023-02-16,M07,72696,,
2023-02-16,M08,22102,,
2023-02-16,M09,20054,,
2023-02-16,M10,79604,,
2023-02-16,M11,31964,,
2023-02-16,M12,7453,,
2023-02-16,M13,12469,,
2023-02-16,M14,28601,,
2023-02-16,M15,28408,,
2023-02-16,M16,17092,,
2023-02-16,MC1,65132.031,,
2023-02-16,MC2,40489.321,,
2023-02-16,MC3,70482.042,,
2023-02-17,HE1,520.51,,
2023-02-17,HE2,5101.11,,
2023-02-17,M01,79111,,
2023-02-17,M02,52289,,
2023-02-17,M05,39506,,
2023-02-17,M07,67416,,
2023-02-17,M08,21791,,
2023-02-17,M09,28715,,
2023-02-17,M10,81645.5,,
2023-02-17,M11,41927,,
2023-02-17,M12,6027,,
2023-02-17,M13,18376,,
2023-02-17,M14,40880,,
2023-02-17,M15,25284,,
2023-02-17,M16,11920,,
2023-02-17,MC1,73937.863,,
2023-02-17,MC2,36940.779,,
2023-02-17,MC3,54345.624,,
2023-02-18,M01,95915,,
2023-02-18,M02,47855,,
2023-02-18,M05,85835,,
2023-02-18,M07,92736,,
2023-02-18,M08,29470,,
2023-02-18,M09,39250,,
2023-02-18,M10,105599,,
2023-02-18,M11,41068,,
2023-02-18,M12,8095,,
2023-02-18,M13,29742,,
2023-02-18,M14,65955,,
2023-02-18,M15,20120,,
2023-02-18,M16,38195,,
2023-02-18,MC1,124949.504,,
2023-02-18,MC2,40276.701,,
2023-02-18,MC3,76883.009,,
2023-02-19,M01,100857,,
2023-02-19,M02,61632,,
2023-02-19,M05,70701,,
2023-02-19,M07,88994,,
2023-02-19,M08,23180,,
2023-02-19,M09,19460,,
2023-02-19,M10,98195,,
2023-02-19,M11,50319,,
